Turbine_ID,Turbine_Type,Max_Capacity_MW,Efficiency,Age_Years,Energy_Produced_MWh,Fuel_Consumption_m3,CO2_Emissions_kg,Injected_Power_MW,Injection_Time,Losses_Percentage,Connection_Point,Real_Time_Demand_MW,Demand_Variability,Area_Served,Operating_Hours_per_Day,StartUp_Time_Min,Shutdown_Time_Min,Downtime_Hours,temp,Humidity_Percentage,Wind_Speed_m_s,Load_Factor,Maintenance_Cost_Year,Operational_Cost_per_Hour,Heat_Rate_BTU_kWh,Availability,Reliability,Timestamp,,,,,,
GT1,gas,105.3227407,37.73919376,5,38.34440465,155.8608273,779.3041365,35.07704731,00:00-00:15,4.235329567,North,40.01854747,0.025031786,CityA,23,11,9,1,34.44911289,53.59770908,3.223309583,0.36406577,12163.78755,31.86771109,8831.312765,98.5075479,96.0744013,1/1/2019 0:00,,,,,,
GT2,gas,118.9230341,32.0772281,4,35.9705064,171.8015178,859.0075892,35.03342993,00:00-00:15,3.287006817,North,38.81977831,0.039239298,CityA,22,13,7,1,34.73744291,58.93314079,2.78400086,0.302468792,7257.492318,26.79477129,8062.317096,98.1544452,98.64285279,1/1/2019 0:00,,,,,,
GT3,gas,106.7914414,32.92962568,4,32.41248381,157.3721965,786.8609825,31.28371631,00:00-00:15,1.950217273,North,31.82047707,0.017058611,CityA,17,8,5,3,15.1957072,45.5880454,0.680492562,0.303511999,5934.579127,20.66519671,8313.015358,96.64231819,95.06569363,1/1/2019 0:00,,,,,,
GT4,gas,104.7931863,31.92749041,1,31.72996268,125.7556165,628.7780826,28.660929,00:00-00:15,3.224760687,North,23.98553678,0.033879698,CityA,15,14,6,4,31.23155356,55.17576426,2.28438038,0.302786506,6590.999982,47.98772489,8257.548949,98.34497215,97.32782308,1/1/2019 0:00,,,,,,
GT5,gas,115.8599487,32.28961941,3,32.54950641,132.6544313,663.2721565,31.75684084,00:00-00:15,1.282412911,North,31.91590547,0.02754144,CityA,22,6,10,0,26.25709261,38.20163741,4.067238008,0.280938381,12140.94939,27.37239,8158.716485,97.90625149,98.08014892,1/1/2019 0:00,,,,,,
GT6,gas,96.62472965,32.59578431,3,27.93216192,122.2151791,611.0758954,27.5880587,00:00-00:15,4.955310731,North,30.84567036,0.047827366,CityA,16,5,10,2,23.67857179,59.76405064,2.012670578,0.289078811,13600.72858,45.81853904,8551.791907,98.00558009,98.7853405,1/1/2019 0:00,,,,,,
ST1,steam,99.8762098,26.48905802,5,23.11676707,73.89127163,369.4563581,21.94123747,00:00-00:15,4.944086487,North,23.03991773,0.040962766,CityA,17,13,7,2,17.82053547,66.04304046,2.788203071,0.231454188,14257.96446,25.55281758,8900.349002,95.10786379,96.30808549,1/1/2019 0:00,,,,,,
ST2,steam,95.9632746,27.18493538,5,22.86635179,53.7678737,268.8393685,21.16217757,00:00-00:15,4.049123479,North,21.04567088,0.025375905,CityA,17,13,10,2,20.32047403,65.36651744,4.911593433,0.238282321,12983.14928,37.91073735,8071.641162,98.5732548,98.42155749,1/1/2019 0:00,,,,,,
ST3,steam,65.57386095,30.66249195,5,16.30251095,37.00386064,185.0193032,15.57553839,00:00-00:15,2.962008778,North,15.39665403,0.04291625,CityA,20,12,13,3,24.51518523,37.59839863,0.456937934,0.248612949,14715.61604,45.82770795,8918.540343,98.54741568,95.80714412,1/1/2019 0:00,,,,,,
ST4,steam,76.60307603,30.21764624,3,20.65999184,60.45063717,302.2531858,18.7936386,00:00-00:15,4.472580425,North,19.50235074,0.046192978,CityA,23,9,6,1,19.65455284,48.47113267,2.530469434,0.269701857,5062.679929,32.48151556,8191.3137,95.10364563,97.84790783,1/1/2019 0:00,,,,,,
